local-authority-code,council,start_year,end_year,data_type,emission_savings,project_name,lifetime,cost,funding_source,emission_source,annual_cost,annual_savings,measurement,savings_start,comments
EAY,East Ayrshire Council,2018,2019,project,4,7. Upgrading Building Energy Management System at Mount Carmel Primary School,25,12046,Capital,Natural Gas,11159,560,Estimated,2019/20,"The Carbon Trust estimates a 10% reduction in a building’s heating and hot water gas costs through BMS controls.  The estimated savings in this report are based on a 5% reduction.  The gas consumption figures on which this estimate is based are derived from reported CRC gas use data.    
"
EAY,East Ayrshire Council,2018,2019,project,7,8. Upgrading Building Energy Management System at Onthank primary School,25,10166,Capital,Natural Gas,25696,1182,Estimated,2019/20,"The Carbon Trust estimates a 10% reduction in a building’s heating and hot water gas costs through BMS controls.  The estimated savings in this report are based on a 5% reduction.  The gas consumption figures on which this estimate is based are derived from reported CRC gas use data.    
"
EAY,East Ayrshire Council,2018,2019,project,6,9. Upgrading Building Energy Management System at HQ,25,9866,Capital,Natural Gas,20641,1032,Estimated,2019/20,"The Carbon Trust estimates a 10% reduction in a building’s heating and hot water gas costs through BMS controls.  The estimated savings in this report are based on a 5% reduction.  The gas consumption figures on which this estimate is based are derived from reported CRC gas use data.    
"
EAY,East Ayrshire Council,2018,2019,project,3,10. Upgrading Building Energy Management System at Civic South office building,25,6469,Capital,Natural Gas,10840,542,Estimated,2019/20,"The Carbon Trust estimates a 10% reduction in a building’s heating and hot water gas costs through BMS controls.  The estimated savings in this report are based on a 5% reduction.  The gas consumption figures on which this estimate is based are derived from reported CRC gas use data.    
"
EAY,East Ayrshire Council,2019,2020,project,327,1. Holiday 'Switch-Off' of heating systems across school estate,1,0,Revenue,Natural Gas,2700,49672,Actual,2018/19,"Costs include those following the qualification criteria of the former CRC scheme    
"
EAY,East Ayrshire Council,2019,2020,project,110,2. Active Monitoring of Building Energy Consumption and corrective / Improvement actions,1,0,Capital,Natural Gas,7500,13750,Estimated,2018/19,"Costs include those following the qualification criteria of the former CRC scheme    
"
EAY,East Ayrshire Council,2019,2020,project,36,3. Replacement of 34 diesel fleet with electric vehicles,7,161140,Leased,Diesel (100% mineral diesel),0,43668,Estimated,2020/21,"Switched on Fleets capital grant provided by Transport Scotland.  This will be an annual project that is ongoing as long as funding is made available with no. of vehicles covered reflecting available funding within given year.    
"
EAY,East Ayrshire Council,2019,2020,project,2000,4. Street Lighting LED Conversion Project,25,4920000,Capital,Grid Electricity ,0,420000,Estimated,2019/20,"The project is being implemented on an area by area basis over 3 years. As each area has varying quantities and ratings of lamp types the saving figures will vary year on year until the project is completed.  (Note, the estimated costs savings(£/annum) are estimated figures after completion    
"
EAY,East Ayrshire Council,2019,2020,project,617,5. Increase Level of Landfill waste diversion,Ongoing,0,Revenue,Refuse Municipal to Landfill,0,46000,Estimated,2017/18,"6500 tonnes of waste originally destined for landfill was successfully recovered. Whilst there is no financial saving or capital /operational costs to the Council associated with this diversion, Council benefits through reduced landfill and emissions"
EAY,East Ayrshire Council,2019,2020,project,,6. Upgrading Building Energy Management System at Sunnyside Childrens' Home,25,17000,Capital,Natural Gas,25696,106,Estimated,2020/21,The Carbon Trust estimates a 10% reduction in a building’s heating and hot water gas costs through BMS controls.  The estimated savings in this report are based on a 5% reduction.  The gas consumption figures on which this estimate is based are those following the qualification criteria of the former CRC scheme    
EAY,East Ayrshire Council,2019,2020,project,2,7. Upgrading Building Energy Management System at Crosshouse Area Centre,25,32000,Capital,Natural Gas,20641,378.66510000000017,Estimated,2020/21,"The Carbon Trust estimates a 10% reduction in a building’s heating and hot water gas costs through BMS controls.  The estimated savings in this report are based on a 5% reduction.  The gas consumption figures on which this estimate is based are derived from reported CRC gas use data.    
"
EAY,East Ayrshire Council,2019,2020,project,1,8. Upgrading Building Energy Management System at Benrig Childrens' Home,25,23500,Capital,Natural Gas,10840,180,Estimated,2020/21,The Carbon Trust estimates a 10% reduction in a building’s heating and hot water gas costs through BMS controls.  The estimated savings in this report are based on a 5% reduction.  The gas consumption figures on which this estimate is based are those following the qualification criteria of the former CRC scheme    
EDU,East Dunbartonshire Council,2014,2015,project,144,LED street lighting replacement,,250000,Salix,Grid Electricity (generation),27933,,Estimated,2015/16,Project lifetime and cost-saving data not included in current Carbon Management Plan records.
EDU,East Dunbartonshire Council,2014,2015,project,56,Introduction of commercial recycling,,,,Refuse Commercial & Industrial to Landfill,,,Estimated,2015/16,Cost data available on request.  Project lifetime and cost-saving data not included in current Carbon Management Plan records.
EDU,East Dunbartonshire Council,2014,2015,project,38,Solar pv installation at Leisuredrome Leisure Centre,,156000,Capital budget,Grid Electricity (generation),,,Estimated,2015/16,Project lifetime and cost-saving data not included in current Carbon Management Plan records.
EDU,East Dunbartonshire Council,2014,2015,project,20,New buses,,800000,Capital budget,Diesel,,,Estimated,2015/16,Project lifetime and cost-saving data not included in current Carbon Management Plan records.
EDU,East Dunbartonshire Council,2014,2015,project,17,Ongoing fleet replacement,,2000000,Capital budget,Diesel,,,Estimated,2015/16,Project lifetime and cost-saving data not included in current Carbon Management Plan records.
EDU,East Dunbartonshire Council,2014,2015,project,13,Removal of servers at William Patrick Library HQ,,,,Grid Electricity (generation),,,Estimated,2015/16,No cost.  Project lifetime and cost-saving data not included in current Carbon Management Plan records.
EDU,East Dunbartonshire Council,2014,2015,project,7,ICT upgrades: DMZ consolidation,,5000,Capital budget,Grid Electricity (generation),,,Estimated,2015/16,Project lifetime and cost-saving data not included in current Carbon Management Plan records.
EDU,East Dunbartonshire Council,2014,2015,project,,See note in comments box,,,,,,,,,Other projects were carried out during reporting year but carbon savings could not be estimated.
EDU,East Dunbartonshire Council,2015,2016,project,482,Biomass boiler installations,,762059,Capital budget,Natural Gas,3600,,Estimated,2016/17,Process not currently in place to ensure robust estimation of cost-savings and information-gathering re project lifetime; Standard Operating Procedures within Carbon Management Plan will be updated to address this.
EDU,East Dunbartonshire Council,2015,2016,project,250,Biomass boiler installations,,474134,Capital budget,Gas Oil,3600,,Estimated,2016/17,Process not currently in place to ensure robust estimation of cost-savings and information-gathering re project lifetime; Standard Operating Procedures within Carbon Management Plan will be updated to address this.
EDU,East Dunbartonshire Council,2015,2016,project,499,Street Lighting Replacement,,1800000,Capital budget,Grid Electricity ,,,Estimated,2016/17,Process not currently in place to ensure robust estimation of cost-savings and information-gathering re project lifetime; Standard Operating Procedures within Carbon Management Plan will be updated to address this.
EDU,East Dunbartonshire Council,2015,2016,project,39,ICT server upgrades,,95000,Capital budget,Grid Electricity ,,,Estimated,2016/17,Process not currently in place to ensure robust estimation of cost-savings and information-gathering re project lifetime; Standard Operating Procedures within Carbon Management Plan will be updated to address this.
EDU,East Dunbartonshire Council,2015,2016,project,39,Ongoing fleet replacement programme,,,Capital budget,Car - diesel (average - unknown engine size),,,Estimated,2016/17,Process not currently in place to ensure robust estimation of cost-savings and information-gathering re project lifetime; Standard Operating Procedures within Carbon Management Plan will be updated to address this.
EDU,East Dunbartonshire Council,2016,2017,project,24,ICT server upgrades,,95000,Capital budget,Grid Electricity ,,,Estimated,2017/18,
EDU,East Dunbartonshire Council,2016,2017,project,30,"Ongoing fleet
replacement
programme",,,Capital budget,Diesel (average biofuel blend),,,Estimated,2017/18,
EDU,East Dunbartonshire Council,2016,2017,project,383,"Street Lighting
Replacement",,180000,Capital budget,Grid Electricity ,,,Estimated,2017/18,
EDU,East Dunbartonshire Council,2016,2017,project,56,Six solar installations,,600000,Capital budget,Grid Electricity ,,,Estimated,2017/18,
EDU,East Dunbartonshire Council,2016,2017,project,264,Five biomass installations,,503728,Capital budget,Natural Gas,,,Estimated,2017/18,
EDU,East Dunbartonshire Council,2017,2018,project,384,Street lighting replacement (4200 lamps),,504236,Capital budget,Grid Electricity ,,275,Estimated,2018/19,
EDU,East Dunbartonshire Council,2018,2019,project,105,Street lighting replacement (1600 lamps),,758800,Capital budget,Grid Electricity ,,,Estimated,2019/20,
EDU,East Dunbartonshire Council,2018,2019,project,17,ICT storage area network upgrade,,135000,Capital budget,Grid Electricity ,,,Estimated,2019/20,Reported last year but not completed until 18/19.
EDU,East Dunbartonshire Council,2018,2019,project,60,Opening of Thomas Muir Primary School to replace Auchinairn and Woodhill Primaries,,,Capital budget,Grid Electricity ,,,Actual,2018/19,
EDU,East Dunbartonshire Council,2018,2019,project,48,Opening of Thomas Muir Primary School to replace Auchinairn and Woodhill Primaries,,,Capital budget,Natural Gas,,,Actual,2018/19,
EDU,East Dunbartonshire Council,2018,2019,project,32,Opening of Holy Trinity Primary School to replace St Agatha's and St Flannan's Primaries,,,Capital budget,Grid Electricity ,,,Actual,2018/19,
EDU,East Dunbartonshire Council,2018,2019,project,50,Opening of Holy Trinity Primary School to replace St Agatha's and St Flannan's Primaries,,,Capital budget,Natural Gas,,,Actual,2018/19,
EDU,East Dunbartonshire Council,2019,2020,project,12,Street lighting replacement (200 lamps),,500000,Capital budget,Grid Electricity (generation),,,Estimated,2020/21,
EDU,East Dunbartonshire Council,2019,2020,project,12,Street lighting replacement (200 lamps),,500000,Capital budget,Grid Electricity (generation),,,Estimated,2021/22,
EDU,East Dunbartonshire Council,2019,2020,project,9,Lillie Art Gallery humidity controls,,,Capital budget,Natural Gas,,,Estimated,2021/22,
EDU,East Dunbartonshire Council,2020,2021,project,9,Lillie Art Gallery humidity controls,,,Capital budget,Natural Gas,,,Estimated,2020/21,"Project was carried out in the report year (October '20) and is therefore being included in this table, but only part-year savings (4.5 tCO2e/annum) can be reported for 20/21.  21/22 was not available in the drop-down menu for the first full year of savings, so 20/21 was selected."
EDU,East Dunbartonshire Council,2020,2021,project,12,Street lighting replacement,,,Capital budget,Grid Electricity (generation),,,Estimated,2020/21,"This project has been included in this table because the 20/21 is the first full year of savings; however, it was implemented in 19/20. "
ELN,East Lothian Council,2014,2015,project,256,LED Street Lighting Upgrade,25,471500,Capital funding & Salix Loan,Grid Electricity (generation),,62000,Estimated,2015/16,"£1,000 capital funding, remainder Salix Loan.  "
ELN,East Lothian Council,2014,2015,project,63,Weekly Food Waste Collection Service,,265080,Capital funding,waste,,735567,Estimated,2015/16,
ELN,East Lothian Council,2014,2015,project,9,Extension of the Garden Waste Collection,,80000,Capital funding,waste,,40000,Estimated,2015/16,
ELN,East Lothian Council,2014,2015,project,459,MMW 'lost' from Reducing the Non Recyclable Waste Collection to Fortnightly,,0,Capital funding,waste,,-120000,Estimated,2015/16,
ELN,East Lothian Council,2014,2015,project,10.5,Increased Material Capture Through the Kerbside Box Collection,,73000,Capital funding,waste,,43000,Estimated,2015/16,
ELN,East Lothian Council,2014,2015,project,394,Dissemination of Energy Data to Buiding Users,,500,Capital funding,Grid Electricity (generation),,48829,Estimated,2016/17,Savings from mixed energy sources. 
ELN,East Lothian Council,2014,2015,project,443,Energy Surveys of Our Buildings,,0,Staff time,Grid Electricity (generation),,54536,Estimated,2016/17,Savings from mixed energy sources. 
ELN,East Lothian Council,2014,2015,project,16,BMS retrofit due to control failures at one site,,4500,Capital funding,Natural Gas,,2120,Estimated,2016/17,"Example project, more of these types of project could be undertaken.  "
ELN,East Lothian Council,2014,2015,project,,Review of External Lighting,,,Not applicable,Grid Electricity (generation),,6500,Estimated,2016/17,Various factors need to be considered.  
ELN,East Lothian Council,2014,2015,project,26,Heating and Controls Upgrade at Law Primary School,,,Capital funding,Natural Gas,,4900,Estimated,2016/17,
ELN,East Lothian Council,2015,2016,project,300,Street Lighting,25,400000,Capital funding & Salix loan,Grid Electricity ,0,65266,Estimated,2016/17,
ELN,East Lothian Council,2015,2016,project,5.2,BMS Retrofit,15,,Revenue Funding,Natural Gas,0,400,Estimated,2016/17,
ELN,East Lothian Council,2015,2016,project,28,Boiler replacement (CPS),15,,Revenue Funding,Natural Gas,0,3643,Estimated,2016/17,
ELN,East Lothian Council,2015,2016,project,34,Boiler Replacement (LPS),15,,Revenue Funding,Natural Gas,0,4427,Estimated,2016/17,
ELN,East Lothian Council,2015,2016,project,23,Boiler replacement (MC),15,,Revenue Funding,Natural Gas,0,3001,Estimated,2016/17,
ELN,East Lothian Council,2015,2016,project,1048,Weekly Food Waste Collection service,0,265080,Capital Funding,Refuse Municipal to Landfill,,735567,Actual,2015/16,
ELN,East Lothian Council,2015,2016,project,82,Extension of the garden collection service,,80000,Capital Funding,Refuse Municipal to Landfill,,40000,Actual,2015/16,
ELN,East Lothian Council,2015,2016,project,836,MMW 'lost' from reducing the non recyclable waste,,0,Capital Funding,Refuse Municipal to Landfill,,120000,Actual,2015/16,
ELN,East Lothian Council,2015,2016,project,493,Increased Material capture through kerbside boxes,,73000,Capital Funding,Refuse Municipal to Landfill,,43000,Actual,2015/16,
ELN,East Lothian Council,2017,2018,project,6,LED Upgrade Mansfield,15,,,Grid Electricity ,,,Estimated,2018/19,
ELN,East Lothian Council,2017,2018,project,7,LED Upgrade St Martins PS,15,,,Grid Electricity ,,,Estimated,2018/19,
ELN,East Lothian Council,2017,2018,project,4,LED Upgrade in various school gym halls,15,,,Grid Electricity ,,,Estimated,2018/19,
ELN,East Lothian Council,2017,2018,project,6,Partial LED upgrade at Loretto PS,15,,,Grid Electricity ,,,Estimated,2018/19,
ELN,East Lothian Council,2017,2018,project,6,Partial LED upgrade Prestonpans Infants,15,,,Grid Electricity ,,,Estimated,2018/19,
ELN,East Lothian Council,2017,2018,project,63,Street Lighting Upgrade,15,,,Grid Electricity ,,,Estimated,2018/19,
ELN,East Lothian Council,2018,2019,project,6.2,Wellwynd LED Replacement,15,,,Grid Electricity ,,,Estimated,2020/21,
ELN,East Lothian Council,2018,2019,project,16.9,Penston House LED Replacement,15,,,Grid Electricity ,,,Estimated,2020/21,
ELN,East Lothian Council,2018,2019,project,4.5,Nursery LED replacements at various sites,15,,,Grid Electricity ,,,Estimated,2020/21,
ELN,East Lothian Council,2018,2019,project,1.8,Loretto PS - Phase 2 rewire,15,,,Grid Electricity ,,,Estimated,2020/21,
ELN,East Lothian Council,2018,2019,project,1.5,Prestonpans Infants - LED replacement in dining hall,15,,,Grid Electricity ,,,Estimated,2020/21,
ELN,East Lothian Council,2018,2019,project,250,"Provision of a Contract for the recovery, treatment and final disposal of mixed municipal waste",10,,,Refuse Commercial &amp; Industrial to Landfill,385000,,Estimated,2020/21,
ELN,East Lothian Council,2019,2020,project,,"Provision of a Contract for the recovery, treatment and final disposal of mixed municipal waste",10,,,Refuse Commercial & Industrial to Landfill,385000,250,Estimated,2020/21,
ERW,East Renfrewshire Council,2014,2015,project,,Buildings closed / disposed /  demolished etc - see section 3g below,,,,,,,,,
ERW,East Renfrewshire Council,2014,2015,project,600,"Heating controls, boiler replacements / upgrades, variable speed drives, lighting and lighting controls projects at multiple sites",,130000,CEEF,Other 1,,"Actual savings from the sites where measures were implemented total around £90,000, however all the savings cannot be directly attributed to the measures implemented",,2014/15,"multiple projects, multiple lifetime savings, electricity and gas savings. Actual savings from each site cannot in all cases be directly sttributed to the measures implemented. Work is ongoing to develop a more robust projects register that tracks each individual project more accurately for reporting purposes"
ERW,East Renfrewshire Council,2016,2017,project,187,Non Domestic Energy Efficiency Framework Phase 1,12,365000,Capital Budget/SALIX Budget,Grid Electricity ,500,45000,Estimated,2017/18,Primarily lighting replacement across 7 primary schools and two ASHPs replacing electric storage in two nurseries. Partial savings incurred in report year. First full year of savings to incurred in 2017/18. 
ERW,East Renfrewshire Council,2016,2017,project,288,Street lighting retrofit,10,0,Capital Budget,Grid Electricity ,0,0,Estimated,2017/18,This is an ongoing project to retrofit streetlights with LED where appropriate and replace lampposts where required. 
ERW,East Renfrewshire Council,2017,2018,project,192.5,NDEE - BEMS upgrade,7,86239,East Renfrewshire Council,Natural Gas,400,"33,434",Estimated,2018/19,"Primary gas saving of 167.5 tCO2e. 

Secondary electricity saving of 25tCO2e

Data taken from IGA proposal by Matrix. "
ERW,East Renfrewshire Council,2017,2018,project,11.3,NDEE - BEMS optimisation,7,13938,East Renfrewshire Council,Natural Gas,400,"2,226",Estimated,2018/19,"Primary gas saving of 6.7 tCO2e

Secondary electricity saving of 4.6 tCO2e

Data taken from IGA proposal by Matrix. "
ERW,East Renfrewshire Council,2017,2018,project,5,NDEE - VSD installation,7,2518,East Renfrewshire Council,Grid Electricity ,0,"1,083",Estimated,2018/19,"Electricity savings only. 

Data taken from IGA proposal by Matrix. "
ERW,East Renfrewshire Council,2017,2018,project,9.6,NDEE - Pipe lagging,7,10837,East Renfrewshire Council,Natural Gas,0,"1,576",Estimated,2018/19,"Gas savings only. 

Data taken from IGA proposal by Matrix. "
ERW,East Renfrewshire Council,2017,2018,project,284,NDEE - Internal lighting,7,396616,East Renfrewshire Council,Grid Electricity ,0,"70,035",Estimated,2018/19,"Electricity savings only. 

Data taken from IGA proposal by Matrix. "
ERW,East Renfrewshire Council,2017,2018,project,59.6,NDEE  - External lighting,7,49746,East Renfrewshire Council,Grid Electricity ,0,"14,672",Estimated,2018/19,"Electricity savings only.

Data taken from IGA proposal by Matrix. "
ERW,East Renfrewshire Council,2017,2018,project,10.4,NDEE - Air Handling Unit upgrade,7,21450,East Renfrewshire Council,Natural Gas,0,"1,978",Estimated,2018/19,"Primary gas savings of 7 tCO2e

Secondary electricity savings of 3.4 tCO2e

Data taken from IGA proposal by Matrix. "
ERW,East Renfrewshire Council,2017,2018,project,42,NDEE - Boiler implementation,7,103524,East Renfrewshire Council,Natural Gas,0,"6,875",Estimated,2018/19,"Gas savings only. 

Data taken from IGA proposal by Matrix. "
ERW,East Renfrewshire Council,2017,2018,project,24.3,NDEE - Air Source Heat Pump installation,7,151944,East Renfrewshire Council,Grid Electricity ,0,"4,783",Estimated,2018/19,"Electricity savings only. 

Data taken from IGA proposal by Matrix. "
ERW,East Renfrewshire Council,2017,2018,project,272,Street lighting retrofit,10,0,East Renfrewshire Council,Grid Electricity ,0,"26,410",Estimated,2017/18,Savings calculated from STC data for unmetered supply. 
ERW,East Renfrewshire Council,2017,2018,project,5,Water efficiency project (1of 2),3,16500,East Renfrewshire Council,Water - Supply,0,14934,Estimated,2018/19,Installation of water efficiency measures at education sites by Anglian Water (Wave) using Scottish Government Framework. 
ERW,East Renfrewshire Council,2017,2018,project,10,Water efficiency project (2 of 2),3,16500,East Renfrewshire Council,Water - Treatment,0,14934,Estimated,2018/19,Please see description above. This entry relates to savings incurred through water treatment as opposed to supply. 
ERW,East Renfrewshire Council,2018,2019,project,477,Street lighting LED fitting,25,130000,East Renfrewshire Council,Grid Electricity ,28600,32512,Estimated,2017/18,"1042 LED street lights installed (replacing existing column/lanterns) 2018/19. 
Cost savings based on 15p/kWh."
ERW,East Renfrewshire Council,2018,2019,project,212,NDEE - BEMS upgrade,7,86239,East Renfrewshire Council,Natural Gas,0,33434,Estimated,2018/19,"Primary gas saving of 187  tCO2e. 
Secondary electricity saving of 25 tCO2e
Data taken from IGA (final) proposal by E.On. 
"
ERW,East Renfrewshire Council,2018,2019,project,12,NDEE - BEMS optimisation,7,13398,East Renfrewshire Council,Natural Gas,0,2226,Estimated,2018/19,"Primary gas saving of 7  tCO2e. 
Secondary electricity saving of 5  tCO2e.
Data taken from IGA (final) proposal by E.ON. "
ERW,East Renfrewshire Council,2018,2019,project,5,NDEE - VSD installation,7,2518,East Renfrewshire Council,Grid Electricity ,0,1183,Estimated,2018/19,"Electricity savings only. 
Data taken from IGA (final) proposal by E.ON. "
ERW,East Renfrewshire Council,2018,2019,project,10,NDEE - Pipe lagging,7,10837,East Renfrewshire Council,Natural Gas,0,1576,Estimated,2018/19,"Gas savings only. 
Data taken from IGA (final) proposal by E.ON "
ERW,East Renfrewshire Council,2018,2019,project,284,NDEE - Internal lighting,7,396616,East Renfrewshire Council,Grid Electricity ,0,70035,Estimated,2017/18,"Electricity savings only. 
Data taken from IGA (final) proposal by E.ON. "
ERW,East Renfrewshire Council,2018,2019,project,60,NDEE  - External lighting,7,49746,East Renfrewshire Council,Grid Electricity ,0,14672,Estimated,2017/18,"Electricity savings only.
Data taken from IGA ( final) proposal by E.ON. "
ERW,East Renfrewshire Council,2018,2019,project,3,NDEE - Air Handling Unit,7,21450,East Renfrewshire Council,Grid Electricity ,0,1977,Estimated,2017/18,"Primary  electricity savings of 3 tCO2e.
Data taken from IGA ( final) proposal by E.ON. "
ERW,East Renfrewshire Council,2018,2019,project,42,NDEE - Boiler implementation,7,103524,East Renfrewshire Council,Natural Gas,0,6875,Estimated,2017/18,"Gas savings only. 
Data taken from IGA ( final) proposal by E.ON. "
ERW,East Renfrewshire Council,2018,2019,project,24,NDEE - Air Source Heat Pump installation,7,151944,East Renfrewshire Council,Grid Electricity ,0,5983,Estimated,2017/18,"Electricity savings only. 
Data taken from IGA ( final) proposal by E.ON. "
ERW,East Renfrewshire Council,2020,2021,project,4187,Clyde Valley Contract (waste),45,,Council budget,Landfill gas tonnes,,,Actual,2020/21,
FAL,Falkirk Council,2014,2015,project,,Street lighting energy reduction,,250000,,Grid Electricity (generation),,,Estimated,2015/16,Figures Unavailable at this time.
FAL,Falkirk Council,2014,2015,project,,Heating time rationalisation,,,,Natural Gas,,,Estimated,2015/16,
FAL,Falkirk Council,2014,2015,project,,Boiler optimisation,,,,Natural Gas,,,Estimated,2015/16,
FAL,Falkirk Council,2014,2015,project,,Cavity wall insulation,,,,Natural Gas,,,Estimated,2015/16,
FAL,Falkirk Council,2014,2015,project,,Replacing air handling unit at mariner centre,,,,Grid Electricity (generation),,,Estimated,2015/16,
FAL,Falkirk Council,2014,2015,project,,LED lighting in high school/outdoor lighting,,,,Grid Electricity (generation),,,Estimated,2015/16,
FAL,Falkirk Council,2014,2015,project,,Install pv in St Mungo's high school,,,,Grid Electricity (generation),,,Estimated,2015/16,
FAL,Falkirk Council,2015,2016,project,566,streetlighting,15,250000,internal,Grid Electricity ,,106099,Actual,2016,
FAL,Falkirk Council,2015,2016,project,31,heating and timing rationalisation,,1000,internal,Natural Gas,,,Estimated,2016,This was to tie in occupancy times with the BMS  being in operation.
FAL,Falkirk Council,2015,2016,project,,Boiler optimiser,10,20000,internal,Natural Gas,,,Estimated,2016,Currently being evaluated during 16/17 for carbon savings.
FAL,Falkirk Council,2016,2017,project,13,LED lighting at Grangemouth sports complex,20,32000,CEEF,Grid Electricity ,,3066,Estimated,2017/18,
FAL,Falkirk Council,2016,2017,project,363,Streetlighting,20,500000,SALIX,Grid Electricity ,,80443,Actual,2017/18,
FAL,Falkirk Council,2016,2017,project,100,Nethermains Primary school refurbishment,20,500000,Capital,Grid Electricity ,,20000,Actual,2017/18,
FAL,Falkirk Council,2017,2018,project,117,Biomass boiler installation - Carrongrange,20,0,capital,Natural Gas,,2352,Estimated,2018/19,
FAL,Falkirk Council,2017,2018,project,33,LED lighting at various sites,20,40476,energy efficiency loan fund,Grid Electricity ,,10240,Actual,2018/19,
FAL,Falkirk Council,2017,2018,project,22,Beancross Primary school refurbishment,20,500000,capital,Grid Electricity ,,10000,Actual,2018/19,
FAL,Falkirk Council,2017,2018,project,8,Solar PV - Carrongrange High and Carron PS,20,45500,energy efficiency loan fund,Grid Electricity ,,3567,Actual,2018/19,
FAL,Falkirk Council,2018,2019,project,364,Efficiency Framework,20,902819,Energy efficiency loan fund,Grid Electricity ,,120,Estimated,2019/20,
FAL,Falkirk Council,2018,2019,project,134,LED lighting at various sites,20,292017,Energy efficiency loan fund,Grid Electricity ,,54546,Estimated,2019/20,
FAL,Falkirk Council,2018,2019,project,13,California PS - External Wallpacks,20,32000,Energy efficiency loan fund,Grid Electricity ,,3066,Estimated,2019/20,
FAL,Falkirk Council,2018,2019,project,8,Kinnaird PS - Solar PV,20,21597,Energy efficiency loan fund,Grid Electricity ,,4206,Estimated,2019/20,
FAL,Falkirk Council,2018,2019,project,39,Reduction in paper use + 100 % recycled paper,,,,Paper & Board (Mixed) Recycling,0,40000,Estimated,2019/20,"There are 2 saving sources:
1) The total number of boxes purchased decreased by about 15% following the awareness raising campaign. This represents a saving of about 20.9 tonnes of CO2e/year.

2) If the recycled paper purchased in 2019 would have been virgin paper instead, then we would have emitted 18.1 additional tonnes of CO2e.
"
FAL,Falkirk Council,2019,2020,project,270,LED retrofit - Mitie Schools,20,774308,Energy efficiency loan fund,Grid Electricity (generation),,130132,Estimated,2020/21,Figures Unavailable at this time.
FIF,Fife Council,2014,2015,project,145.5,ICT cooling system,,,,Grid Electricity (generation),,,Actual,2014/15,
FIF,Fife Council,2014,2015,project,829,Energy efficiency projects,,,,Other 1,,,Estimated,2014/15,combination of gas and electrical energy  efficiency  projects 
FIF,Fife Council,2014,2015,project,444,Street lighting,,,,Grid Electricity (generation),,,Estimated,2014/15,
FIF,Fife Council,2014,2015,project,329,"Telematics installed for 800 vehicles,  17  electrical vehicles and 3 efficient RCV's",,,,Diesel,,,Actual,2014/15,
FIF,Fife Council,2014,2015,project,219,Business travel,,,,Other 1,,,Actual,2014/15,The factor used to estimate business miles savings is the combined petrol /diesel one. Presently we don’t monitor what fuel is used for the mileage  claimed . The savings come from the difference in mileage claimed from the year before.   This figure reflects the actual business miles claimed for but is an estimate of business miles overall as not everyone claims for their mileage. 
FIF,Fife Council,2015,2016,project,2467,Light Fife Green,6,,Various (including revolving fund),Grid Electricity ,,,Estimated,2013,Fife Street lighting network upgrades continued in 2015-16 with 1500 columns erected and 7000 lanterns replaced with low energy LEDs.
FIF,Fife Council,2015,2016,project,400,Data Centre Energy Efficiency Improvement project,3,460900,,Grid Electricity ,,94700,Actual,2015,Savings achieved by a combination of: improving server arrangement (to improve the air flows by aligning the servers in aisles with hot and cold corridors); installing the most efficient cooling (free cooling with excellent filtration); and server virtualisation (allowing us to reduce the number of physical servers from over 500 servers to 20. This means that rather than operating 12 racks of servers within our data rooms we are now operating only 0.5 of a rack.) 
FIF,Fife Council,2015,2016,project,51,Electric vehicle roll-out (electrification of Fife Council fleet),18,,Grant funding from Switched on Fleets and the Air Quality Monitoring Fund.,Diesel (average biofuel blend),,,Estimated,2012,Grant funding from Switched on Fleets and the Air Quality Monitoring Fund have enabled Fife Council to increase their full electric fleet to 22. This includes 11 pool cars and 11 frontline small vans. We have also introduced 3 electric hybrid vehicles in 2015-16. This figure is based on average fuel consumption of the pool cars and small vans which have been replaced with electric vehicles.
FIF,Fife Council,2015,2016,project,227,Fleet rationalisation programme.,,,Not applicable (undertaken to achieve budget savings),Diesel (average biofuel blend),,,Estimated,2015,"This figure relates to the reduction in fleet size seen in 2015-16, when the Council divested 18 vehicles. The estimated carbon savings figure is based on 2014 fuel consumption of these vehicles."
FIF,Fife Council,2016,2017,project,1816,Light Fife Green,,,"""Various
(including
revolving
fund)""",Grid Electricity ,,,Estimated,2017/18,"Fife Street lighting network upgrades continued in 2016-17 with 1062 columns replaced and 6796 lanterns replaced with low energy LEDs. (On going project to reduce street lighting carbon emissions by approximately 5% per year).
"
FIF,Fife Council,2016,2017,project,27.1,"Auchmuty learning centre, electric to gas heating replacement",,120000,"Various, including SALIX",Grid Electricity ,,7900,Estimated,2017/18,"Replacing an electric space and water heating system, with a gas system. "
FIF,Fife Council,2016,2017,project,8.4,Buckhaven Primary School boiler replacement,,100000,"Various, including SALIX",Grid Electricity ,,579,Estimated,2017/18,"Installation of new, higher efficiency electric boilers. Urgent replacement as existing boiler was about to fail."
FIF,Fife Council,2016,2017,project,7.7,"Dairsie Primary School, BEMS controls",,5395,"Various, including SALIX",Grid Electricity ,,2260,Estimated,2017/18,Installing smart BEMS to ensure more efficient operation of heating system. 
FIF,Fife Council,2016,2017,project,22.3,"Levenmouth swimming pool, LED lighting",,71007,"Various, including SALIX",Grid Electricity ,,7100,Estimated,2017/18,Replacing old lighting system with new efficient LED system.
